study_name,context,factor_column,human_score,council_score,signed_difference,absolute_difference,is_diagnostic_divergence
Bastos2012,GO,GO-F29,0.6,0.567,0.033,0.033,False
Garret2020,GO,GO-F01,0.2,0.167,0.033,0.033,False
LeeMejias2025,GO,GO-F17,0.6,0.567,0.033,0.033,False
VanDerveer2021,GO,GO-F32,0.6,0.633,-0.033,0.033,False
Furutachi2024,GO,GO-F23,-0.2,-0.167,-0.033,0.033,False
Rao2024,LO,LO-F19,0.6,0.567,0.033,0.033,False
Furutachi2024,LO,LO-F10,0.6,0.625,-0.025,0.025,False
Spratling2008,LO,LO-F02,0.6,0.625,-0.025,0.025,False
Bastos2020,LO,LO-F25,0.6,0.575,0.025,0.025,False
LeeMejias2025,GO,GO-F07,0.6,0.575,0.025,0.025,False
Keller2018,GO,GO-F10,0.6,0.575,0.025,0.025,False
Keller2018,LO,LO-F31,0.6,0.625,-0.025,0.025,False
Spratling2010,GO,GO-F07,0.6,0.62,-0.02,0.02,False
Mikulasch2023,LO,LO-F10,0.6,0.58,0.02,0.02,False
Friston2010,GO,GO-F27,0.6,0.62,-0.02,0.02,False
Keller2018,LO,LO-F10,0.6,0.62,-0.02,0.02,False
Spratling2008,LO,LO-F10,0.6,0.58,0.02,0.02,False
Garret2020,LO,LO-F06,0.6,0.62,-0.02,0.02,False
Mikulasch2023,LO,LO-F01,0.6,0.58,0.02,0.02,False
VanDerveer2021,GO,GO-F03,0.6,0.62,-0.02,0.02,False
VanDerveer2021,LO,LO-F03,0.6,0.62,-0.02,0.02,False
Kiebel2008,GO,GO-F10,0.6,0.583,0.017,0.017,False
LeeMejias2025,LO,LO-F21,0.6,0.617,-0.017,0.017,False
Kiebel2008,GO,GO-F06,0.6,0.586,0.014,0.014,False
Wacongne2011,LO,LO-F30,0.2,0.2,0.0,0.0,False
Payeur2021,GO,GO-F34,0.6,0.6,0.0,0.0,False
LeeMejias2025,GO,GO-F35,0.6,0.6,0.0,0.0,False
Wacongne2011,LO,LO-F22,0.6,0.6,0.0,0.0,False
Friston2010,LO,LO-F30,0.6,0.6,0.0,0.0,False
Bakhtiari2021,GO,GO-F34,0.2,0.2,0.0,0.0,False
Mikulasch2023,LO,LO-F12,0.6,0.6,0.0,0.0,False
Bakhtiari2021,LO,LO-F34,0.2,0.2,0.0,0.0,False
Payeur2021,GO,GO-F09,0.2,0.2,0.0,0.0,False
Mikulasch2023,LO,LO-F32,0.6,0.6,-0.0,0.0,False
Mikulasch2023,GO,GO-F01,0.6,0.6,0.0,0.0,False
Payeur2021,LO,LO-F34,0.6,0.6,0.0,0.0,False
Wacongne2011,GO,GO-F30,0.2,0.2,0.0,0.0,False
Payeur2021,LO,LO-F27,0.6,0.6,0.0,0.0,False
Payeur2021,LO,LO-F26,0.6,0.6,0.0,0.0,False
Yamins2014,LO,LO-F30,0.2,0.2,0.0,0.0,False
Yamins2014,LO,LO-F34,0.2,0.2,0.0,0.0,False
Nejad2025,LO,LO-F07,0.6,0.6,0.0,0.0,False
Yamins2014,GO,GO-F30,0.2,0.2,0.0,0.0,False
Mikulasch2023,LO,LO-F13,0.6,0.6,0.0,0.0,False
LaoRodriguez2023,LO,LO-F30,0.2,0.2,0.0,0.0,False
LeeMejias2025,LO,LO-F35,0.6,0.6,0.0,0.0,False
Keller2018,GO,GO-F32,0.6,0.6,0.0,0.0,False
Greedy2022,LO,LO-F26,0.6,0.6,0.0,0.0,False
VanDerveer2021,LO,LO-F07,0.2,0.2,0.0,0.0,False
Greedy2022,LO,LO-F27,0.6,0.6,0.0,0.0,False
Greedy2022,GO,GO-F01,0.2,0.2,0.0,0.0,False
Greedy2022,GO,GO-F26,0.6,0.6,0.0,0.0,False
Keller2012,LO,LO-F33,0.2,0.2,0.0,0.0,False
Nejad2025,GO,GO-F07,0.6,0.6,0.0,0.0,False
Bastos2020,GO,GO-F26,0.6,0.6,0.0,0.0,False
Bastos2020,GO,GO-F25,0.6,0.6,0.0,0.0,False
Spratling2008,GO,GO-F21,0.6,0.6,0.0,0.0,False
VanDerveer2021,LO,LO-F29,0.6,0.6,0.0,0.0,False
Bastos2012,LO,LO-F31,0.6,0.6,0.0,0.0,False
VanDerveer2021,LO,LO-F30,0.6,0.6,0.0,0.0,False
Kiebel2008,LO,LO-F30,0.6,0.6,0.0,0.0,False
Spratling2008,LO,LO-F03,0.2,0.2,0.0,0.0,False
Bastos2012,GO,GO-F31,0.6,0.6,0.0,0.0,False
Sacramento2018,GO,GO-F13,-0.2,-0.2,0.0,0.0,False
Kiebel2008,GO,GO-F30,0.6,0.6,0.0,0.0,False
Bastos2012,GO,GO-F21,0.6,0.6,0.0,0.0,False
LeeMejias2025,LO,LO-F07,0.6,0.6,0.0,0.0,False
Bastos2012,LO,LO-F32,0.6,0.6,0.0,0.0,False
VanDerveer2021,GO,GO-F34,0.6,0.6,0.0,0.0,False
Yamins2014,GO,GO-F34,0.2,0.2,0.0,0.0,False
